ID,age,Male,income,married,children,car,save_act,current_act,mortgage,payback
12101,48,0,17546,0,1,0,0,0,0,1
12102,40,1,30085.1,1,3,1,0,1,1,0
12103,51,0,16575.4,1,0,1,1,1,0,0
12104,23,0,20375.4,1,3,0,0,1,0,0
12105,57,0,50576.3,1,0,0,1,0,0,0
12106,57,0,37869.6,1,2,0,1,1,0,1
12107,22,1,8877.07,0,0,0,0,1,0,1
12108,58,1,24946.6,1,0,1,1,1,0,0
12109,37,0,25304.3,1,2,1,0,0,0,0
12110,54,1,24212.1,1,2,1,1,1,0,0
12111,66,0,59803.9,1,0,0,1,1,0,0
12112,52,0,26658.8,0,0,1,1,1,1,0
12113,44,0,15735.8,1,1,0,1,1,1,1
12114,66,0,55204.7,1,1,1,1,1,1,1
12115,36,1,19474.6,1,0,0,1,1,1,0
12116,38,0,22342.1,1,0,1,1,1,1,0
12117,37,0,17729.8,1,2,0,0,0,1,0
12118,46,0,41016,1,0,0,1,0,1,0
12119,62,0,26909.2,1,0,0,1,0,0,1
12120,31,1,22522.8,1,0,1,1,1,0,0
12121,61,1,57880.7,1,2,0,1,0,0,1
12122,50,1,16497.3,1,2,0,1,1,0,0
12123,54,1,38446.6,1,0,0,1,1,0,0
12124,27,0,15538.8,0,0,1,1,1,1,0
12125,22,1,12640.3,0,2,1,1,1,0,0
12126,56,1,41034,1,0,1,1,1,1,0
12127,45,1,20809.7,1,0,0,1,1,1,0
12128,39,0,20114,1,1,0,0,1,0,1
12129,39,0,29359.1,0,3,1,0,1,1,0
12130,61,1,24270.1,1,1,0,0,1,0,1
12131,61,0,22942.9,1,2,0,1,1,0,0
12132,20,0,16325.8,1,2,0,1,0,0,0
12133,45,1,23443.2,1,1,1,1,1,0,1
12134,33,0,29921.3,0,3,1,1,0,0,0
12135,43,1,37521.9,0,0,0,1,1,0,1
12136,27,0,19868,1,2,0,1,1,0,0
12137,19,1,10953,1,3,1,1,1,0,0
12138,36,0,13381,0,0,1,0,1,0,1
12139,43,0,18504.3,1,0,1,1,1,0,0
12140,66,0,25391.5,0,2,0,0,1,0,0
12141,55,1,26774.2,1,0,0,0,1,1,1
12142,47,0,26952.6,1,0,1,0,1,0,0
12143,67,1,55716.5,0,2,1,1,0,0,1
12144,32,0,27571.5,1,0,1,0,1,1,0
12145,20,1,13740,0,2,1,1,1,1,0
12146,64,1,52670.6,1,2,0,1,1,1,1
12147,50,0,13283.9,0,1,1,1,1,0,1
12148,29,1,13106.6,0,2,0,1,1,1,1
12149,52,1,39547.8,0,2,1,0,1,0,1
12150,47,0,17867.3,1,2,1,1,0,0,0
12151,24,1,14309.7,0,2,1,1,0,0,0
12152,36,1,23894.8,1,0,0,0,0,0,0
12153,43,1,16259.7,1,1,0,1,1,0,1
12154,48,1,29794.1,0,1,0,1,1,0,1
12155,63,1,56842.5,1,0,0,1,1,1,0
