Fashion,Leisure,Stretch,Original
182,1528,496,2203
129,2247,296,1890
107,1652,267,2342
117,1744,419,2119
110,1736,755,1781
79,1637,613,2138
73,2484,468,1216
64,2675,209,1504
100,1795,561,1933
126,1789,180,2405
37,1528,41,1752
106,1930,409,2064
105,1969,643,1670
1,1060,234,955
78,2390,406,1428
78,1631,3,1634
139,1747,486,1997
61,1918,303,2220
68,1957,587,1812
127,2175,319,1747
102,2442,481,1364
65,2226,188,1782
87,2128,327,1813
144,2024,503,1785
68,1989,595,1881
96,1717,863,1843
78,2225,454,1693
86,1543,713,2041
69,1838,333,2090
73,1746,274,2249
66,2243,254,1949
67,1726,269,2442
87,2000,340,2056
99,1792,500,2002
97,2089,461,1733
52,2589,279,1480
76,1215,828,2312
83,1503,13,1836
91,1819,270,2276
161,1613,709,2005
45,1530,791,2056
85,1610,632,2072
112,2101,186,1940
54,1864,768,1786
73,2152,348,1835
126,1376,800,2179
65,1717,6,1584
147,1932,382,1870
46,1846,485,2033
92,2649,162,1510
83,2152,534,1649
87,2014,787,1507
50,1624,380,2286
101,2047,468,1878
127,1811,317,2023
113,1943,367,1952
91,2026,394,1922
158,2532,258,1478
109,1556,719,2010
123,1472,1118,1627
104,2232,339,1686
2,1009,249,992
67,1409,884,2038
129,2528,304,1540
61,1184,426,2715
136,2256,307,1658
99,1768,643,2004
39,1874,659,1754
105,1888,254,2105
1,1057,227,863
84,1698,616,2016
66,2019,543,1803
93,2525,371,1552
102,2248,430,1579
77,1544,24,1765
81,2564,459,1316
197,2055,339,1793
76,1394,726,2226
52,1959,730,1647
106,2418,332,1570
122,1369,862,2054
63,2146,338,1766
128,2093,384,1789
59,1798,326,2216
41,2049,700,1550
67,1918,420,1917
135,2446,294,1521
109,2165,333,1715
63,1813,6,1468
89,2116,449,1603
61,1656,909,1840
65,2597,356,1320
4,672,378,1157
79,2027,723,1476
59,1443,21,1939
69,2006,534,1676
158,1896,674,1627
58,1764,704,1793
61,1942,408,1980
122,1826,442,2007
140,2146,455,1573
111,1978,24,1253
91,1752,706,1859
108,1244,425,2570
52,1829,711,1888
106,2643,273,1324
122,1661,518,2083
56,1358,17,1954
82,1478,1044,1833
79,1945,354,2098
81,2000,574,1656
90,2025,444,1898
48,1442,703,2215
88,2016,466,1891
72,1872,130,1245
77,2105,750,1502
79,2519,300,1421
83,2817,307,1223
62,1813,28,1352
110,2013,284,1987
78,1616,51,1681
104,1695,3,1527
114,1441,700,2190
127,1804,377,2067
83,1736,650,1937
129,1792,11,1490
77,1701,466,2151
83,2070,447,1874
92,2169,694,1426
106,2468,289,1467
105,2159,387,1807
135,2075,504,1870
53,2110,189,2103
64,2064,385,1963
95,1903,281,2194
101,1793,455,2139
98,1475,628,2177
101,1510,593,2106
68,1771,413,2230
106,2196,414,1680
109,2317,429,1605
105,1627,400,2275
170,2219,261,1686
84,1714,313,2224
74,1401,698,2130
67,1365,634,2286
111,1880,264,2110
91,1406,409,2450
116,1587,518,2112
168,2407,432,1420
83,2359,319,1723
60,1703,28,1632
86,1817,460,2037
98,2149,484,1610
131,2042,426,1788
94,1637,718,2068
49,2086,277,1951
57,1866,528,1870
128,2041,324,1934
48,1604,27,1771
76,2104,461,1827
70,1998,442,1883
67,2035,534,1810
62,2316,282,1845
124,1906,261,2051
115,2279,358,1729
61,2123,562,1677
125,1978,695,1580
89,1351,332,2468
70,1384,527,2390
76,2189,476,1618
117,1057,1015,2169
64,1655,667,2072
67,2106,478,1609
64,2037,412,1953
5,683,391,1143
81,1955,552,1859
56,1934,385,2056
75,1664,351,2326
112,1918,625,1813
123,1580,371,2263
101,1790,376,2158
114,2361,375,1576
115,2392,398,1559
70,1432,655,2010
90,1944,783,1623
139,1630,684,1862
127,1763,36,1562
95,2286,610,1464
59,1852,543,2017
136,1726,447,2005
129,1940,355,2006
95,1675,456,2178
76,1777,662,1911
102,1893,319,2149
73,1692,521,2096
44,1602,760,2001
67,1616,20,1707
108,1356,433,2521
170,1581,408,2292
65,2435,465,1408
115,1876,898,1572
130,2047,306,2049
147,1697,687,1838
72,2048,650,1529
71,1374,764,2194
89,2188,398,1687
132,1947,361,1978
92,1710,287,2237
77,2193,312,1816
77,2207,682,1347
70,2082,678,1668
121,2114,333,1827
65,2194,302,1846
72,1725,616,2055
109,1526,16,1706
63,2083,321,1990
68,2306,294,1765
98,2059,343,1951
75,1485,637,2146
79,1932,307,2078
130,1844,409,1919
81,2224,401,1655
117,1865,262,2160
95,2068,422,1696
32,1697,2,1645
185,1678,457,2131
73,1801,589,1875
34,1983,699,1623
87,2262,573,1471
63,2342,253,1860
139,1859,642,1806
82,2106,608,1594
164,1654,735,1874
80,1772,489,2008
91,1290,666,2392
147,2083,570,1670
89,1771,366,2086
95,1758,661,1971
191,1868,407,1950
48,2023,458,1842
78,2285,421,1678
94,1790,72,1450
53,2441,343,1502
115,1489,720,2036
87,1976,452,1863
60,1486,907,1870
59,1688,451,2162
108,2512,280,1511
150,1766,434,2086
58,1156,1224,1956
62,1791,20,1520
76,2015,463,1885
98,2131,262,1895
68,2468,446,1335
87,1726,13,1575
113,1960,632,1868
96,1811,179,2226
88,1996,260,2129
79,2069,446,1742
107,2141,596,1635
68,2266,499,1492
61,1442,923,1938
94,1936,517,1955
93,2336,203,1796
92,1879,249,2065
86,1576,7,1738
61,2071,290,1932
63,2229,528,1589
86,2118,565,1695
118,1904,537,1839
87,1286,722,2344
158,1709,325,2254
89,2077,317,1960
131,1846,22,1488
80,1605,655,2013
67,1822,436,2078
43,1946,716,1772
70,1897,32,1412
165,1775,507,1783
67,2443,151,1830
80,2314,240,1689
58,2150,219,1942
94,2568,423,1392
45,1977,444,1921
122,1970,400,1908
133,2120,351,1685
72,1908,23,1421
118,2077,425,1748
5,700,325,1169
72,1470,421,2442
149,2602,206,1380
79,1998,422,1892
92,1674,512,2175
127,1662,583,2000
90,1573,478,2298
118,1510,553,2255
92,2231,44,1117
