first_genre,title,vote_average,revenue,budget,popularity,runtime,release_year
Action,Avatar,7.2,2787.965087,237,150.437577,162,2009
Drama,Titanic,7.5,1845.034188,200,100.025899,194,1997
Science Fiction,The Avengers,7.4,1519.55791,220,144.448633,143,2012
Action,Jurassic World,6.5,1513.52881,150,418.708552,124,2015
Action,Furious 7,7.3,1506.24936,190,102.322217,137,2015
Action,Avengers: Age of Ultron,7.3,1405.403694,280,134.279229,141,2015
Animation,Frozen,7.3,1274.219009,150,165.125366,102,2013
Action,Iron Man 3,6.8,1215.439994,200,77.68208,130,2013
Family,Minions,6.4,1156.730962,74,875.581305,91,2015
Adventure,Captain America: Civil War,7.1,1153.304495,250,198.372395,147,2016
Action,Transformers: Dark of the Moon,6.1,1123.746996,195,28.529607,154,2011
Adventure,The Lord of the Rings: The Return of the King,8.1,1118.888979,94,123.630332,201,2003
Action,Skyfall,6.9,1108.561013,200,93.004993,143,2012
Science Fiction,Transformers: Age of Extinction,5.8,1091.405097,210,116.840296,165,2014
Action,The Dark Knight Rises,7.6,1084.939099,250,112.31295,165,2012
Animation,Toy Story 3,7.6,1066.969703,200,59.995418,103,2010
Adventure,Pirates of the Caribbean: Dead Man's Chest,7,1065.659812,200,145.847379,151,2006
Adventure,Pirates of the Caribbean: On Stranger Tides,6.4,1045.713802,380,135.413856,136,2011
Family,Alice in Wonderland,6.4,1025.49111,200,78.530105,108,2010
Adventure,The Hobbit: An Unexpected Journey,7,1021.103568,250,108.849621,169,2012
Drama,The Dark Knight,8.2,1004.558444,185,187.322927,152,2008
Adventure,Harry Potter and the Philosopher's Stone,7.5,976.47555,125,109.984351,152,2001
Animation,Despicable Me 2,7,970.761885,76,136.886704,98,2013
Family,The Jungle Book,6.7,966.5506,175,94.199316,106,2016
Adventure,Pirates of the Caribbean: At World's End,6.9,961,300,139.082615,169,2007
Adventure,The Hobbit: The Desolation of Smaug,7.6,958.4,250,94.370564,161,2013
Action,The Hobbit: The Battle of the Five Armies,7.1,956.019788,250,120.965743,144,2014
Animation,Finding Nemo,7.6,940.335536,94,85.688789,100,2003
Adventure,Harry Potter and the Order of the Phoenix,7.4,938.212738,150,78.144395,138,2007
Adventure,Harry Potter and the Half-Blood Prince,7.4,933.959197,250,98.885637,153,2009
Adventure,The Lord of the Rings: The Two Towers,8,926.2874,79,106.914973,179,2002
Adventure,Star Wars: Episode I - The Phantom Menace,6.3,924.317558,115,54.035265,136,1999
Adventure,Jurassic Park,7.6,920.1,63,40.413191,127,1993
Adventure,Shrek 2,6.7,919.838758,150,47.320801,93,2004
Adventure,Harry Potter and the Goblet of Fire,7.5,895.921036,150,101.250416,157,2005
Fantasy,Spider-Man 3,5.9,890.871626,258,115.699814,139,2007
Animation,Ice Age: Dawn of the Dinosaurs,6.5,886.686817,90,69.457898,94,2009
Action,Spectre,6.3,880.674609,245,107.376788,148,2015
Animation,Ice Age: Continental Drift,6.2,877.244782,95,65.229868,88,2012
Adventure,Harry Potter and the Chamber of Secrets,7.4,876.688482,100,132.397737,161,2002
Animation,The Secret Life of Pets,5.9,875.958308,75,31.482872,87,2016
Action,Batman v Superman: Dawn of Justice,5.7,873.260194,250,155.790452,151,2016
Adventure,The Lord of the Rings: The Fellowship of the Ring,8,871.368364,93,138.049577,178,2001
Drama,Inside Out,8,857.611174,175,128.655964,94,2015
