BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY
795.497557,0,0,0,0.5
45.22614,0,0,0,0.083333
112.01046,229,0,0.181818,0
151.704474,0,0,0,0.166667
70.794108,0,0,0,0.181818
348.813275,0,0,0,0.083333
72.723403,0,0,0,0.25
42.996921,230.04,0,0.25,0
107.13002,15.4,0,0.083333,0.333333
14.983682,280,0,0.083333,0
2.611795,43.08,0,0.142857,0
8.258214,92.46,92.46,0.5,0
45.66329,77,0,0.083333,0
153.643158,0,0,0,0.083333
267.908144,30,0,0.090909,0.454545
143.025504,1312.35,0,0.916667,0
80.054576,315,0,0.083333,0
212.25194,0,0,0,0.166667
135.357366,1592.57,460.52,0.75,0
114.523682,83,0,0.166667,0.166667
287.787967,0,0,0,0.083333
223.820349,1176.72,306.91,0.7,0.3
260.636327,673.28,0,0.583333,0.25
13.07784,69.5,0,0.083333,0
40.778677,100.98,0,0.333333,0
207.099447,1764,1764,1,0
22.366132,502.54,0,0.416667,0
349.788099,400.6,0,0.416667,0
402.512336,150,150,0.272727,0
126.159165,144.9,0,0.25,0
288.097302,2622.6,2622.6,1,0
252.359096,2487,2487,1,0
2.303628,0,0,0,0.142857
0.979061,0,0,0,0.083333
23.116625,0,0,0,0.25
4.817213,0,0,0,0.142857
15.810927,246.29,0,0.181818,0
5.911397,0,0,0,0.166667
49.906438,0,0,0,0.25
5.871712,20.9,0,0.166667,0
69.39915,370,0,0.142857,0.142857
13.457564,0,0,0,0.166667
10.268192,0,0,0,0.25
51.071594,0,0,0,0.555556
15.523256,0,0,0,0.416667
4.358863,70,0,0.090909,0
67.251991,0,0,0,0.083333
14.042241,92.16,92.16,0.333333,0
28.853384,251.55,191.55,0.625,0
38.68635,0,0,0,0.090909
42.577756,4061.96,0,0.916667,0
45.171225,160,0,0.083333,0
42.204276,655.73,458.34,1,0
33.225168,655.15,59.73,1,0.083333
5.993508,0,0,0,0.083333
7.4726,63.4,28.31,0.222222,0
1.199105,20,0,0.083333,0
398.453246,0,0,0,0.857143
4.390888,0,0,0,0.083333
35.800325,0,0,0,0.25
121.294493,385.26,0,0.5,0.125
14.891908,59.8,0,0.166667,0
31.734061,95,0,0.1,0
110.913143,2339.3,240.84,0.666667,0.166667
168.516873,364.8,0,0.333333,0
45.972648,0,0,0,0.083333
286.264356,27.51,0,0.142857,0.428571
380.839064,0,0,0,0.428571
